"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","26","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_004 大页大小-pageSize=100","{tc.description}"
"passed","Mon Jul 27 15:46:58 CST 2026","Mon Jul 27 15:46:58 CST 2026","47","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_014 空字符串过滤","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","14","testcases.modules.safety","test_debar_emp_list","TestDebarEmpList","","","TC_DEM_003 最小页大小-pageSize=1","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","16","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_006 异常注册-营业执照号长度不合法(10位)","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","63","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_013 动态过滤-按联系人电话","{tc.description}"
"failed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","34","testcases.modules.safety","test_debar_emp_list","TestDebarEmpList","","","TC_DEM_006 边界-pageNum超出总页数","{tc.description}"
"passed","Mon Jul 27 15:46:58 CST 2026","Mon Jul 27 15:46:58 CST 2026","156","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_009 动态过滤-按人员姓名","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","25","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_001 基础查询-默认分页","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","18","testcases.modules.safety","test_login","TestLogin","","","TC_LOGIN_003 空用户名登录","{tc.description}"
"passed","Mon Jul 27 15:46:54 CST 2026","Mon Jul 27 15:46:54 CST 2026","25","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_001 正常注册-完整必填字段","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","18","testcases.modules.safety","test_login","TestLogin","","","TC_LOGIN_005 不存在的用户登录","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","82","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_004 大页大小-pageSize=100","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","62","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_005 边界-pageNum=0","{tc.description}"
"failed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","22","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_011 异常注册-缺少联系人姓名","{tc.description}"
"failed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","23","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_006 边界-pageNum超出总页数","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","70","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_001 基础查询-默认分页","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","15","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_008 边界-负数分页","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","19","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_003 最小页大小-pageSize=1","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","41","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_010 动态过滤-按营业执照号","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","38","testcases.modules.safety","test_debar_emp_list","TestDebarEmpList","","","TC_DEM_010 动态过滤-按身份证号","{tc.description}"
"failed","Mon Jul 27 15:46:54 CST 2026","Mon Jul 27 15:46:54 CST 2026","24","testcases.modules.coordination","test_unit_login","TestUnitLogin","","","TC_LOGIN_002 异常登录-错误密码","{tc.description}"
"passed","Mon Jul 27 15:46:58 CST 2026","Mon Jul 27 15:46:58 CST 2026","152","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_011 动态组合过滤-姓名+合作单位","{tc.description}"
"passed","Mon Jul 27 15:46:54 CST 2026","Mon Jul 27 15:46:54 CST 2026","37","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_003 异常注册-缺少公司名称","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","18","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_008 边界-负数分页","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","36","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_009 动态过滤-按企业名称","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","24","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_013 空字符串过滤","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","34","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_010 异常注册-公司名称为空字符串","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","15","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_014 不存在的企业名称过滤","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","16","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_003 最小页大小-pageSize=1","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","18","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_012 不存在的企业名称过滤","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","32","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_005 边界-pageNum=0","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","38","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_002 第二页查询","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","137","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_004 大页大小-pageSize=100","{tc.description}"
